"id","name","id_brand","describtion","picture_url"
1,Iphone SE,1,Iphone SE,https://media.discordapp.net/attachments/914926459368390746/914930958883508274/se_white.png?width=856&height=1013
2,Iphone 11,1,Iphone 11,https://media.discordapp.net/attachments/914931864576327741/914931930108166175/11_purple.png?width=856&height=1013
3,Iphone 12,1,Iphone 12,https://media.discordapp.net/attachments/914932983864107078/914933031586889778/12_purple.png?width=856&height=1013
4,Iphone 12 mini,1,Iphone 12 mini,https://media.discordapp.net/attachments/914932983864107078/914933030798364744/12_black.png?width=856&height=1013
5,Iphone 13,1,Iphone 13,https://media.discordapp.net/attachments/914933705074700358/914933742664040488/13_pink.png?width=856&height=1013
6,Iphone 13 mini,1,Iphone 13 mini,https://media.discordapp.net/attachments/914933705074700358/914933742416560228/13_midnight.png?width=856&height=1013
7,Iphone 13 Pro,1,Iphone 13 Pro,https://media.discordapp.net/attachments/914934249465974835/914934294487654440/13_sierrablue.png?width=856&height=1013
8,Iphone 13 Pro Max,1,Iphone 13 Pro Max,https://media.discordapp.net/attachments/914934249465974835/914934294894485554/13_silver.png?width=856&height=1013
9,Galaxy Z Fold3 5G,2,Galaxy Z Fold3 5G,https://media.discordapp.net/attachments/914926041657671721/920333765241372712/Screen_Shot_2564-12-14_at_22.17.33.png
10,Galaxy S21,2,Galaxy S21,https://media.discordapp.net/attachments/914926041657671721/920360718895829053/Samsung-Galaxy-S21-5G-Phantom-Gray-2-square_medium.png
11,Xiaomi 11T Pro,3,Xiaomi 11T Pro,https://media.discordapp.net/attachments/914926041657671721/920360198378491914/Xiaomi-Smartphone-Mi-11T-Pro-Meteorite-Gray-5G-5-square_medium.png
12,OnePlus 8T,4,OnePlus 8T,https://media.discordapp.net/attachments/914926041657671721/920338504624525422/OnePlus-8T-Aquamarine-Green-2-square_medium.png
13,OnePlus Nord,4,OnePlus Nord,https://media.discordapp.net/attachments/914926041657671721/920339167936909352/OnePlus-Smartphone-Nord-8-128GB-Gray-Onyx-1-square_medium.png
14,Galaxy Z Flip3,2,Galaxy Z Flip3,https://media.discordapp.net/attachments/914926041657671721/920356412234809365/th-galaxy-z-flip3-f711-5g-396917-sm-f711bzwbthl-thumb-523295947.png
15,Xiaomi 11T,3,Xiaomi 11T,https://media.discordapp.net/attachments/914926041657671721/920360346424844338/Xiaomi-Smartphone-Mi-11T-Meteorite-Gray-5G-5-square_medium.png
16,Xiaomi redmi 9c,3,Xiaomi redmi 9c,https://media.discordapp.net/attachments/914926041657671721/920360507305754705/Xiaomi-Redmi-9C-Twight-Blue-2-square_medium.png
17,Oneplus Nord 2,4,Oneplus Nord 2,https://media.discordapp.net/attachments/914926041657671721/920360010683412550/OnePlus-Smartphone-Nord-2-Blue-Haze-5G-2-square_medium.png
